area,product,n_bldg,n_cems,n_flag,flag_pct,recall,enrichment,precision,rand_prec,lift
Caraballeda,IMPACT,63476,1468,11268,17.8,0.627,3.5,0.099,0.033,3.1
Moron,IMPACT,13911,26,933,6.7,0.192,2.9,0.005,0.002,2.6
Caracas,IMPACT,111637,3,9444,8.5,0.667,7.9,0.0,0.0,9.5
Santa Cruz,IMPACT,144649,3,1739,1.2,0.667,55.5,0.001,0.0,83.2
San Felipe,IMPACT,6027,0,106,1.8,,,0.0,0.0,
Caraballeda,MS,58705,1467,7944,13.5,0.611,4.5,0.121,0.035,3.4
Caraballeda,OSU,63476,1468,27020,42.6,0.864,2.0,0.065,0.033,2.0
San Felipe,OSU,89259,14,948,1.1,0.071,6.7,0.001,0.0,3.4
Caracas,OSU,111637,3,2827,2.5,0.667,26.3,0.001,0.0,31.6
Santa Cruz,OSU,144190,3,1299,0.9,0.667,74.0,0.001,0.0,111.0
Moron,OSU,4075,0,549,13.5,,,0.0,0.0,
Caraballeda,UH,57264,1467,5366,9.4,0.453,4.8,0.126,0.036,3.5
Moron,UH,13910,26,265,1.9,0.231,12.1,0.019,0.002,9.1
Caracas,UH,102573,3,18176,17.7,1.0,5.6,0.0,0.0,5.6
Santa Cruz,UH,116901,3,32145,27.5,0.667,2.4,0.0,0.0,3.6
