aoi,product,n_bld,n_flags,flag_share,n_cems,P_cems,R_cems,crowd_cov_of_fps,fp_crowd_damaged,P_crowd
ALL (as delivered),MS,58705,7944,0.135,1467,0.121,0.611,0.99,0.17,0.268
ALL (as delivered),IMPACT,339700,23490,0.069,1500,0.048,0.619,0.21,0.04,0.087
ALL (as delivered),OSU,412637,32643,0.079,1488,0.054,0.856,0.34,0.06,0.115
ALL (as delivered),UH,290648,55952,0.193,1499,0.012,0.45,0.02,0.01,0.02
ALL (as delivered),LIST,422932,34440,0.081,1514,0.04,0.734,0.2,0.04,0.076
ALL (as delivered),UNEP,422932,17879,0.042,1514,0.037,0.425,0.26,0.05,0.081
Caraballeda,MS,58705,7944,0.135,1467,0.121,0.611,0.99,0.17,0.268
Caraballeda,IMPACT,63476,11268,0.178,1468,0.099,0.627,0.46,0.09,0.179
Caraballeda,OSU,63476,27020,0.426,1468,0.065,0.864,0.41,0.08,0.138
Caraballeda,UH,57264,5366,0.094,1467,0.126,0.453,0.26,0.09,0.202
Caraballeda,LIST,63476,16518,0.26,1468,0.082,0.755,0.43,0.08,0.157
Caraballeda,UNEP,63476,5689,0.09,1468,0.116,0.435,0.87,0.15,0.25
Caracas,IMPACT,111637,9444,0.085,3,0.0,,0.0,,
Caracas,OSU,111637,2827,0.025,3,0.001,,0.01,0.0,0.001
Caracas,UH,102573,18176,0.177,3,0.0,,0.0,0.0,0.0
Caracas,LIST,111637,6895,0.062,3,0.0,,0.0,0.0,0.0
Caracas,UNEP,111637,5495,0.049,3,0.001,,0.0,0.0,0.001
Moron,IMPACT,13911,933,0.067,26,0.005,0.192,0.03,0.01,0.018
Moron,OSU,4075,549,0.135,0,,,0.12,0.04,0.04
Moron,UH,13910,265,0.019,26,0.019,0.231,0.03,0.0,0.023
Moron,LIST,13911,1094,0.079,26,0.0,0.0,0.06,0.02,0.022
Moron,UNEP,13911,583,0.042,26,0.0,0.0,0.11,0.04,0.038
San Felipe,IMPACT,6027,106,0.018,0,,,0.0,,
San Felipe,OSU,89259,948,0.011,14,0.001,,0.0,,
San Felipe,LIST,89259,4241,0.048,14,0.0,,0.0,,
San Felipe,UNEP,89259,1039,0.012,14,0.001,,0.0,,
Santa Cruz,IMPACT,144649,1739,0.012,3,0.001,,0.0,,
Santa Cruz,OSU,144190,1299,0.009,3,0.001,,0.0,,
Santa Cruz,UH,116901,32145,0.275,3,0.0,,0.0,,
Santa Cruz,LIST,144649,5692,0.039,3,0.0,,0.0,,
Santa Cruz,UNEP,144649,5073,0.035,3,0.0,,0.0,,
