threshold,rule,flags,cems_pts,P,R,F1
dmg+destroyed,MS,7878,1467,0.122,0.611,0.203
dmg+destroyed,IMPACT,10787,1467,0.104,0.627,0.178
dmg+destroyed,OSU,25882,1467,0.068,0.865,0.126
dmg+destroyed,UH,5443,1467,0.124,0.453,0.195
dmg+destroyed,LIST,15906,1467,0.086,0.755,0.154
dmg+destroyed,UNEP,5605,1467,0.117,0.431,0.184
dmg+destroyed,1-of-6,37346,1467,0.053,0.952,0.1
dmg+destroyed,2-of-6,20766,1467,0.085,0.899,0.155
dmg+destroyed,3-of-6,9140,1467,0.148,0.781,0.25
dmg+destroyed,4-of-6,3123,1467,0.268,0.566,0.364
dmg+destroyed,5-of-6,915,1467,0.474,0.329,0.388
dmg+destroyed,6-of-6,211,1467,0.791,0.149,0.251
incl_possibly,MS,7878,2786,0.187,0.54,0.278
incl_possibly,IMPACT,10787,2786,0.173,0.577,0.266
incl_possibly,OSU,25882,2786,0.123,0.849,0.215
incl_possibly,UH,5443,2786,0.169,0.349,0.228
incl_possibly,LIST,15906,2786,0.152,0.73,0.252
incl_possibly,UNEP,5605,2786,0.178,0.382,0.243
incl_possibly,1-of-6,37346,2786,0.098,0.946,0.177
incl_possibly,2-of-6,20766,2786,0.149,0.863,0.254
incl_possibly,3-of-6,9140,2786,0.243,0.713,0.362
incl_possibly,4-of-6,3123,2786,0.381,0.477,0.424
incl_possibly,5-of-6,915,2786,0.579,0.244,0.343
incl_possibly,6-of-6,211,2786,0.882,0.095,0.172
