h3,base,pdmg,cems,lisa,product
8867412009fffff,1327,134,0.0,HH,IMPACT
886741200dfffff,110,2,0.0,LH,IMPACT
8867412041fffff,418,73,0.0,HH,IMPACT
8867412043fffff,2014,310,2.0,HH,IMPACT
8867412045fffff,660,171,11.0,HH,IMPACT
8867412047fffff,1378,244,1.0,HH,IMPACT
8867412049fffff,6,0,0.0,ns,IMPACT
886741204bfffff,246,32,0.0,ns,IMPACT
8867412051fffff,3,0,0.0,ns,IMPACT
8867412055fffff,114,0,0.0,ns,IMPACT
8867412059fffff,543,0,3.0,ns,IMPACT
886741205bfffff,1,0,0.0,ns,IMPACT
886741205dfffff,1203,49,0.0,ns,IMPACT
8867412061fffff,2060,222,2.0,HH,IMPACT
8867412065fffff,593,13,1.0,ns,IMPACT
8867412067fffff,344,31,0.0,ns,IMPACT
8867412069fffff,780,148,2.0,HH,IMPACT
886741206bfffff,1142,303,2.0,HH,IMPACT
886741206dfffff,268,47,2.0,ns,IMPACT
8867412083fffff,9,0,0.0,LH,IMPACT
8867412087fffff,216,10,0.0,HH,IMPACT
8867412091fffff,1148,159,0.0,HH,IMPACT
8867412093fffff,1078,116,3.0,HH,IMPACT
8867412095fffff,1301,63,0.0,HH,IMPACT
8867412097fffff,2034,271,0.0,HH,IMPACT
886741209bfffff,117,8,0.0,ns,IMPACT
88674120a1fffff,365,5,0.0,LH,IMPACT
88674120a3fffff,1958,324,0.0,HH,IMPACT
88674120a7fffff,685,165,0.0,HH,IMPACT
88674120abfffff,934,107,0.0,HH,IMPACT
88674120b1fffff,1729,179,0.0,HH,IMPACT
88674120b3fffff,1212,117,0.0,HH,IMPACT
88674120b5fffff,1115,74,0.0,HH,IMPACT
88674120b7fffff,969,72,0.0,HH,IMPACT
88674120b9fffff,1899,381,0.0,HH,IMPACT
88674120bbfffff,1424,67,0.0,HH,IMPACT
88674120bdfffff,2070,443,0.0,HH,IMPACT
8867412101fffff,60,0,0.0,ns,IMPACT
8867412105fffff,824,35,0.0,ns,IMPACT
8867412107fffff,91,1,0.0,ns,IMPACT
8867412109fffff,9,0,1.0,ns,IMPACT
886741210dfffff,1064,91,0.0,HH,IMPACT
8867412129fffff,207,14,0.0,ns,IMPACT
886741212bfffff,2,0,0.0,ns,IMPACT
886741212dfffff,77,0,0.0,ns,IMPACT
8867412141fffff,104,34,1.0,HH,IMPACT
8867412143fffff,1223,45,3.0,LH,IMPACT
8867412145fffff,1371,587,12.0,HH,IMPACT
8867412147fffff,656,199,1.0,HH,IMPACT
8867412149fffff,461,205,101.0,ns,IMPACT
886741214bfffff,40,10,5.0,ns,IMPACT
886741214dfffff,494,194,93.0,ns,IMPACT
8867412155fffff,31,0,0.0,ns,IMPACT
8867412159fffff,148,7,0.0,ns,IMPACT
886741215bfffff,4,0,0.0,ns,IMPACT
886741215dfffff,818,109,1.0,ns,IMPACT
8867412161fffff,49,0,2.0,LH,IMPACT
8867412163fffff,529,11,0.0,ns,IMPACT
8867412165fffff,1621,327,13.0,ns,IMPACT
8867412167fffff,993,42,3.0,ns,IMPACT
8867412169fffff,1062,500,19.0,HH,IMPACT
886741216bfffff,1982,401,3.0,HH,IMPACT
886741216dfffff,502,261,11.0,ns,IMPACT
8867412213fffff,11,0,0.0,ns,IMPACT
8867412217fffff,18,0,0.0,LH,IMPACT
8867412233fffff,1059,210,32.0,ns,IMPACT
8867412235fffff,4,0,0.0,ns,IMPACT
8867412237fffff,71,3,2.0,ns,IMPACT
88674122c1fffff,619,79,13.0,ns,IMPACT
88674122c3fffff,1,0,0.0,ns,IMPACT
88674122c5fffff,120,1,0.0,ns,IMPACT
88674122c7fffff,1,0,0.0,ns,IMPACT
88674122c9fffff,206,60,12.0,ns,IMPACT
88674122cbfffff,166,10,0.0,ns,IMPACT
88674122cdfffff,5,1,0.0,ns,IMPACT
88674122e1fffff,223,28,2.0,ns,IMPACT
88674122e5fffff,216,1,1.0,ns,IMPACT
88674122e7fffff,2,0,0.0,ns,IMPACT
88674122e9fffff,1479,236,0.0,ns,IMPACT
88674122ebfffff,20,0,0.0,ns,IMPACT
88674122edfffff,1102,186,3.0,ns,IMPACT
8867412313fffff,37,7,0.0,HH,IMPACT
8867412317fffff,310,114,15.0,ns,IMPACT
8867412323fffff,182,24,17.0,ns,IMPACT
8867412327fffff,256,104,75.0,ns,IMPACT
8867412331fffff,179,44,6.0,ns,IMPACT
8867412333fffff,106,14,0.0,ns,IMPACT
8867412335fffff,607,173,25.0,ns,IMPACT
8867412337fffff,26,5,0.0,ns,IMPACT
8867412339fffff,168,36,5.0,ns,IMPACT
886741233bfffff,278,7,6.0,ns,IMPACT
886741233dfffff,272,43,3.0,ns,IMPACT
8867412421fffff,69,0,0.0,ns,IMPACT
8867412425fffff,502,24,0.0,ns,IMPACT
8867412427fffff,92,2,0.0,ns,IMPACT
8867412501fffff,310,1,0.0,ns,IMPACT
8867412503fffff,830,10,0.0,ns,IMPACT
8867412505fffff,429,7,0.0,ns,IMPACT
8867412507fffff,1008,67,0.0,ns,IMPACT
8867412509fffff,371,0,0.0,ns,IMPACT
886741250bfffff,510,11,0.0,ns,IMPACT
886741250dfffff,29,0,0.0,ns,IMPACT
8867412511fffff,272,7,0.0,ns,IMPACT
8867412513fffff,396,0,0.0,ns,IMPACT
8867412515fffff,604,6,0.0,ns,IMPACT
8867412517fffff,141,1,0.0,ns,IMPACT
8867412519fffff,589,7,0.0,ns,IMPACT
886741251bfffff,448,7,0.0,ns,IMPACT
886741251dfffff,866,46,0.0,ns,IMPACT
8867412521fffff,1660,142,0.0,HH,IMPACT
8867412523fffff,2681,281,0.0,HH,IMPACT
8867412525fffff,2245,92,0.0,LH,IMPACT
8867412527fffff,2545,139,0.0,HH,IMPACT
8867412529fffff,1095,39,0.0,LH,IMPACT
886741252bfffff,1404,135,0.0,ns,IMPACT
886741252dfffff,2524,254,0.0,HH,IMPACT
8867412531fffff,392,2,0.0,ns,IMPACT
8867412533fffff,817,30,0.0,ns,IMPACT
8867412535fffff,198,3,0.0,LH,IMPACT
8867412537fffff,220,10,0.0,ns,IMPACT
8867412539fffff,857,50,0.0,ns,IMPACT
886741253bfffff,215,5,0.0,ns,IMPACT
886741253dfffff,598,36,0.0,ns,IMPACT
8867412541fffff,1377,223,0.0,HH,IMPACT
8867412543fffff,919,69,0.0,HH,IMPACT
8867412545fffff,2460,266,0.0,HH,IMPACT
8867412547fffff,1001,117,0.0,HH,IMPACT
8867412549fffff,56,3,0.0,ns,IMPACT
886741254bfffff,852,18,0.0,LH,IMPACT
886741254dfffff,463,25,0.0,HH,IMPACT
8867412551fffff,874,60,0.0,ns,IMPACT
8867412553fffff,252,2,0.0,ns,IMPACT
8867412555fffff,962,99,0.0,ns,IMPACT
8867412557fffff,999,72,0.0,ns,IMPACT
8867412559fffff,505,49,0.0,ns,IMPACT
886741255dfffff,941,68,0.0,ns,IMPACT
8867412561fffff,841,82,0.0,HH,IMPACT
8867412563fffff,1274,56,0.0,LH,IMPACT
8867412565fffff,727,72,0.0,HH,IMPACT
8867412567fffff,1585,278,0.0,HH,IMPACT
8867412569fffff,1509,125,0.0,HH,IMPACT
886741256bfffff,561,40,0.0,HH,IMPACT
886741256dfffff,1342,396,0.0,HH,IMPACT
88674125a1fffff,1082,46,0.0,ns,IMPACT
88674125a3fffff,129,0,0.0,ns,IMPACT
88674125a5fffff,113,3,0.0,ns,IMPACT
88674125a7fffff,835,44,0.0,ns,IMPACT
88674125a9fffff,319,3,0.0,ns,IMPACT
88674125abfffff,123,0,0.0,ns,IMPACT
88674125adfffff,628,21,0.0,ns,IMPACT
88674125b1fffff,27,0,0.0,ns,IMPACT
88674125b5fffff,87,0,0.0,ns,IMPACT
88674125b7fffff,22,0,0.0,ns,IMPACT
88674125bdfffff,21,0,0.0,ns,IMPACT
88674125c5fffff,210,0,0.0,ns,IMPACT
88674125cdfffff,23,1,0.0,ns,IMPACT
88674125e1fffff,491,22,0.0,ns,IMPACT
88674125e5fffff,683,30,0.0,ns,IMPACT
88674125e7fffff,379,25,0.0,ns,IMPACT
88674125e9fffff,522,3,0.0,ns,IMPACT
88674125ebfffff,8,0,0.0,ns,IMPACT
88674125edfffff,404,0,0.0,ns,IMPACT
8867412731fffff,43,0,0.0,ns,IMPACT
8867412733fffff,257,3,0.0,ns,IMPACT
8867412735fffff,19,0,0.0,ns,IMPACT
8867412737fffff,1087,129,0.0,ns,IMPACT
8867412849fffff,2,0,0.0,ns,IMPACT
8867412a01fffff,519,4,2.0,ns,IMPACT
8867412a05fffff,443,0,0.0,ns,IMPACT
8867412a07fffff,53,0,0.0,ns,IMPACT
8867412a09fffff,1900,58,6.0,ns,IMPACT
8867412a0bfffff,44,0,0.0,ns,IMPACT
8867412a0dfffff,1074,2,0.0,ns,IMPACT
8867412a15fffff,358,0,0.0,ns,IMPACT
8867412a19fffff,37,0,0.0,ns,IMPACT
8867412a1dfffff,210,0,1.0,ns,IMPACT
8867412a21fffff,15,0,0.0,ns,IMPACT
8867412a23fffff,372,0,0.0,ns,IMPACT
8867412a27fffff,29,0,0.0,ns,IMPACT
8867412a29fffff,32,0,0.0,ns,IMPACT
8867412a2bfffff,425,2,0.0,ns,IMPACT
8867412a31fffff,1,0,0.0,ns,IMPACT
8867412a3bfffff,1,0,0.0,ns,IMPACT
8867412a3dfffff,397,4,0.0,ns,IMPACT
8867412a43fffff,681,18,2.0,ns,IMPACT
8867412a47fffff,91,0,0.0,ns,IMPACT
8867412a51fffff,52,0,0.0,ns,IMPACT
8867412a53fffff,1,0,0.0,ns,IMPACT
8867412a55fffff,1459,156,2.0,ns,IMPACT
8867412a57fffff,581,14,0.0,ns,IMPACT
8867412a59fffff,483,37,8.0,ns,IMPACT
8867412a5bfffff,300,10,1.0,ns,IMPACT
8867412a5dfffff,177,10,4.0,ns,IMPACT
8867412a63fffff,449,42,0.0,ns,IMPACT
8867412a67fffff,25,3,1.0,ns,IMPACT
8867412a6bfffff,6,1,0.0,ns,IMPACT
8867412c11fffff,73,0,0.0,ns,IMPACT
8867412c13fffff,66,3,0.0,ns,IMPACT
8867412c19fffff,307,49,0.0,ns,IMPACT
8867412c1bfffff,181,8,0.0,ns,IMPACT
8867412c1dfffff,1,0,0.0,ns,IMPACT
8867412c53fffff,122,0,0.0,ns,IMPACT
8867412c57fffff,9,0,0.0,ns,IMPACT
8867412c5bfffff,133,0,0.0,ns,IMPACT
8867412cc9fffff,325,8,0.0,ns,IMPACT
8867412ccbfffff,91,0,0.0,ns,IMPACT
8867412ccdfffff,473,25,0.0,ns,IMPACT
8867412e0bfffff,8,0,0.0,ns,IMPACT
8867412e11fffff,1,0,0.0,ns,IMPACT
8867412e13fffff,598,45,0.0,HH,IMPACT
8867412e19fffff,842,61,0.0,ns,IMPACT
8867412e1bfffff,973,150,0.0,ns,IMPACT
8867412e1dfffff,607,11,0.0,ns,IMPACT
8867412e41fffff,4,0,0.0,HH,IMPACT
8867412e43fffff,605,74,0.0,HH,IMPACT
8867412e49fffff,561,129,0.0,HH,IMPACT
8867412e4bfffff,888,86,0.0,HH,IMPACT
8867412e51fffff,909,96,0.0,HH,IMPACT
8867412e53fffff,1782,181,0.0,HH,IMPACT
8867412e55fffff,312,10,0.0,LH,IMPACT
8867412e57fffff,1457,51,0.0,ns,IMPACT
8867412e59fffff,1364,207,0.0,HH,IMPACT
8867412e5bfffff,1095,172,0.0,HH,IMPACT
8867412e5dfffff,1701,344,0.0,HH,IMPACT
8867412e81fffff,79,1,0.0,ns,IMPACT
8867412e85fffff,190,0,0.0,ns,IMPACT
8867412e87fffff,7,0,0.0,ns,IMPACT
8867412e89fffff,373,27,0.0,ns,IMPACT
8867412e8bfffff,126,4,0.0,ns,IMPACT
8867412e8dfffff,419,23,0.0,ns,IMPACT
8867412e91fffff,72,0,0.0,ns,IMPACT
8867412e93fffff,44,0,0.0,ns,IMPACT
8867412e99fffff,206,4,0.0,ns,IMPACT
8867412e9bfffff,112,0,0.0,ns,IMPACT
8867412e9dfffff,196,1,0.0,ns,IMPACT
8867412ea1fffff,412,4,0.0,ns,IMPACT
8867412ea3fffff,718,20,0.0,ns,IMPACT
8867412ea5fffff,118,2,0.0,ns,IMPACT
8867412ea7fffff,947,22,0.0,ns,IMPACT
8867412ea9fffff,354,24,0.0,ns,IMPACT
8867412eabfffff,218,6,0.0,ns,IMPACT
8867412eadfffff,216,0,0.0,ns,IMPACT
8867412eb1fffff,2,0,0.0,ns,IMPACT
8867412eb5fffff,179,3,0.0,ns,IMPACT
8867412eb7fffff,2,0,0.0,ns,IMPACT
8867412eb9fffff,2,0,0.0,ns,IMPACT
8867412ebdfffff,186,37,0.0,ns,IMPACT
8867412ec1fffff,1006,44,0.0,LH,IMPACT
8867412ec3fffff,149,2,0.0,ns,IMPACT
8867412ec5fffff,1104,128,0.0,HH,IMPACT
8867412ec7fffff,382,34,0.0,ns,IMPACT
8867412ec9fffff,2189,235,0.0,HH,IMPACT
8867412ecbfffff,189,9,0.0,ns,IMPACT
8867412ecdfffff,2832,273,0.0,HH,IMPACT
8867412ed1fffff,559,1,0.0,ns,IMPACT
8867412ed3fffff,721,66,0.0,ns,IMPACT
8867412ed5fffff,22,0,0.0,ns,IMPACT
8867412ed7fffff,506,10,0.0,ns,IMPACT
8867412ed9fffff,555,5,0.0,ns,IMPACT
8867412edbfffff,774,58,0.0,ns,IMPACT
8867412eddfffff,30,0,0.0,ns,IMPACT
8867412ee1fffff,472,12,0.0,ns,IMPACT
8867412ee3fffff,568,22,0.0,ns,IMPACT
8867412ee5fffff,130,0,0.0,ns,IMPACT
8867412ee7fffff,1054,23,0.0,ns,IMPACT
8867412ee9fffff,985,29,0.0,LH,IMPACT
8867412eebfffff,1218,168,0.0,ns,IMPACT
8867413413fffff,2,0,0.0,ns,IMPACT
8867413417fffff,2,0,0.0,ns,IMPACT
8867413421fffff,54,24,10.0,ns,IMPACT
8867413423fffff,313,137,60.0,ns,IMPACT
8867413425fffff,79,14,9.0,ns,IMPACT
8867413427fffff,946,560,101.0,ns,IMPACT
8867413431fffff,640,195,34.0,ns,IMPACT
8867413433fffff,53,0,0.0,ns,IMPACT
8867413435fffff,454,79,57.0,ns,IMPACT
8867413439fffff,24,4,4.0,ns,IMPACT
886741343bfffff,165,17,3.0,ns,IMPACT
886741343dfffff,68,19,10.0,ns,IMPACT
88674134c9fffff,12,0,0.0,ns,IMPACT
88674134cbfffff,11,0,0.0,ns,IMPACT
88674134edfffff,1,0,0.0,ns,IMPACT
8867413511fffff,207,87,25.0,ns,IMPACT
8867413513fffff,601,109,4.0,ns,IMPACT
8867413515fffff,32,9,0.0,ns,IMPACT
8867413517fffff,122,11,4.0,ns,IMPACT
8867413519fffff,2,0,0.0,ns,IMPACT
886741351bfffff,903,494,90.0,ns,IMPACT
8867413531fffff,735,157,17.0,ns,IMPACT
8867413535fffff,956,138,19.0,ns,IMPACT
8867413537fffff,244,4,0.0,ns,IMPACT
886741353bfffff,220,20,3.0,ns,IMPACT
886741353dfffff,20,14,7.0,ns,IMPACT
88674135c1fffff,64,0,0.0,ns,IMPACT
88674135c3fffff,8,0,0.0,ns,IMPACT
88674135c5fffff,187,16,0.0,ns,IMPACT
88674135c7fffff,182,17,0.0,ns,IMPACT
88674135c9fffff,1230,239,22.0,ns,IMPACT
88674135cbfffff,129,0,0.0,ns,IMPACT
88674135cdfffff,946,235,8.0,ns,IMPACT
88674135e9fffff,77,0,0.0,ns,IMPACT
88674135edfffff,5,0,0.0,ns,IMPACT
8867413691fffff,17,0,0.0,ns,IMPACT
8867413693fffff,7,0,0.0,ns,IMPACT
8867413699fffff,14,0,0.0,LH,IMPACT
886741369bfffff,212,9,0.0,HH,IMPACT
88674136b1fffff,20,0,0.0,ns,IMPACT
88674136b5fffff,43,0,0.0,ns,IMPACT
88674136b9fffff,157,0,0.0,ns,IMPACT
88674136bbfffff,71,0,0.0,ns,IMPACT
88674136bdfffff,8,0,0.0,ns,IMPACT
8867413891fffff,114,38,34.0,ns,IMPACT
8867413893fffff,902,508,140.0,ns,IMPACT
8867413895fffff,1,0,0.0,ns,IMPACT
8867413897fffff,1232,672,163.0,LH,IMPACT
886741389bfffff,300,55,44.0,ns,IMPACT
88674138b3fffff,732,228,22.0,ns,IMPACT
88674138b7fffff,18,0,0.0,ns,IMPACT
88674138bbfffff,280,122,38.0,ns,IMPACT
88674301a3fffff,187,3,0.0,ns,IMPACT
88674301a5fffff,438,0,0.0,ns,IMPACT
88674301abfffff,2,0,0.0,ns,IMPACT
88674301b1fffff,20,0,0.0,ns,IMPACT
88674301b5fffff,234,29,0.0,ns,IMPACT
88674301b7fffff,62,17,0.0,ns,IMPACT
88674301bdfffff,183,3,0.0,ns,IMPACT
88674308c3fffff,18,0,0.0,ns,IMPACT
88674308c9fffff,1,0,0.0,ns,IMPACT
88674308cbfffff,28,0,0.0,ns,IMPACT
88674308cdfffff,1,0,0.0,ns,IMPACT
88674308d1fffff,20,0,0.0,ns,IMPACT
88674308d5fffff,30,0,7.0,ns,IMPACT
88674308d9fffff,868,147,2.0,ns,IMPACT
88674308ddfffff,340,42,5.0,ns,IMPACT
8867430a81fffff,32,6,0.0,ns,IMPACT
8867430a83fffff,184,15,0.0,ns,IMPACT
