h3,base,pdmg,cems,lisa,product
8867412009fffff,1327,4,0.0,ns,MS
886741200dfffff,110,0,0.0,LL,MS
8867412041fffff,418,15,0.0,ns,MS
8867412043fffff,2014,42,2.0,LL,MS
8867412045fffff,659,63,11.0,ns,MS
8867412047fffff,1378,39,1.0,LL,MS
8867412049fffff,6,0,0.0,ns,MS
886741204bfffff,246,8,0.0,ns,MS
8867412051fffff,3,0,0.0,ns,MS
8867412055fffff,114,1,0.0,LL,MS
8867412059fffff,543,16,3.0,ns,MS
886741205bfffff,1,0,0.0,ns,MS
886741205dfffff,1203,13,0.0,ns,MS
8867412061fffff,2060,36,2.0,ns,MS
8867412065fffff,593,17,1.0,ns,MS
8867412067fffff,344,3,0.0,ns,MS
8867412069fffff,781,59,2.0,ns,MS
886741206bfffff,1142,52,2.0,ns,MS
886741206dfffff,269,5,2.0,ns,MS
8867412101fffff,60,2,0.0,ns,MS
8867412105fffff,825,39,0.0,ns,MS
8867412107fffff,90,1,0.0,ns,MS
8867412109fffff,9,0,1.0,ns,MS
886741210dfffff,1064,54,0.0,ns,MS
8867412129fffff,186,20,0.0,ns,MS
886741212dfffff,77,6,0.0,ns,MS
8867412141fffff,104,31,1.0,ns,MS
8867412143fffff,1223,178,3.0,ns,MS
8867412145fffff,1372,160,12.0,ns,MS
8867412147fffff,655,28,1.0,ns,MS
8867412149fffff,462,118,101.0,ns,MS
886741214bfffff,40,4,5.0,ns,MS
886741214dfffff,493,85,93.0,ns,MS
8867412155fffff,31,9,0.0,ns,MS
8867412159fffff,147,4,0.0,ns,MS
886741215bfffff,4,0,0.0,ns,MS
886741215dfffff,818,95,1.0,ns,MS
8867412161fffff,50,5,2.0,ns,MS
8867412163fffff,530,24,0.0,ns,MS
8867412165fffff,1621,540,13.0,HH,MS
8867412167fffff,993,164,3.0,ns,MS
8867412169fffff,1060,347,19.0,ns,MS
886741216bfffff,1980,235,3.0,ns,MS
886741216dfffff,502,98,11.0,HH,MS
8867412213fffff,11,0,0.0,ns,MS
8867412217fffff,18,3,0.0,ns,MS
8867412233fffff,1059,61,32.0,ns,MS
8867412235fffff,4,1,0.0,ns,MS
8867412237fffff,71,1,2.0,ns,MS
88674122c1fffff,619,39,13.0,ns,MS
88674122c3fffff,1,0,0.0,ns,MS
88674122c5fffff,120,4,0.0,ns,MS
88674122c7fffff,1,0,0.0,ns,MS
88674122c9fffff,206,21,12.0,ns,MS
88674122cbfffff,166,22,0.0,ns,MS
88674122cdfffff,5,0,0.0,ns,MS
88674122e1fffff,223,1,2.0,ns,MS
88674122e5fffff,216,2,1.0,ns,MS
88674122e7fffff,2,0,0.0,ns,MS
88674122e9fffff,1479,55,0.0,ns,MS
88674122ebfffff,20,0,0.0,ns,MS
88674122edfffff,1102,24,3.0,ns,MS
8867412313fffff,37,0,0.0,ns,MS
8867412317fffff,310,44,15.0,ns,MS
8867412323fffff,182,27,17.0,ns,MS
8867412327fffff,256,55,75.0,ns,MS
8867412331fffff,179,24,6.0,ns,MS
8867412333fffff,105,4,0.0,ns,MS
8867412335fffff,607,51,25.0,ns,MS
8867412337fffff,27,3,0.0,ns,MS
8867412339fffff,168,32,5.0,ns,MS
886741233bfffff,278,69,6.0,ns,MS
886741233dfffff,272,55,3.0,ns,MS
8867412849fffff,2,0,0.0,ns,MS
8867412a01fffff,519,114,2.0,HH,MS
8867412a05fffff,442,118,0.0,HH,MS
8867412a07fffff,53,2,0.0,ns,MS
8867412a09fffff,1901,613,6.0,HH,MS
8867412a0bfffff,44,8,0.0,HH,MS
8867412a0dfffff,1074,438,0.0,HH,MS
8867412a15fffff,357,23,0.0,ns,MS
8867412a19fffff,37,0,0.0,ns,MS
8867412a1dfffff,210,31,1.0,ns,MS
8867412a21fffff,15,0,0.0,ns,MS
8867412a23fffff,371,9,0.0,ns,MS
8867412a27fffff,29,0,0.0,ns,MS
8867412a29fffff,32,1,0.0,LH,MS
8867412a2bfffff,425,39,0.0,ns,MS
8867412a3dfffff,398,37,0.0,ns,MS
8867412a43fffff,681,169,2.0,HH,MS
8867412a47fffff,91,38,0.0,HH,MS
8867412a51fffff,52,4,0.0,LH,MS
8867412a53fffff,1,0,0.0,ns,MS
8867412a55fffff,1459,464,2.0,HH,MS
8867412a57fffff,581,105,0.0,ns,MS
8867412a59fffff,482,106,8.0,HH,MS
8867412a5bfffff,300,71,1.0,ns,MS
8867412a5dfffff,177,33,4.0,HH,MS
8867412a63fffff,449,243,0.0,HH,MS
8867412a67fffff,25,22,1.0,HH,MS
8867412a6bfffff,6,6,0.0,HH,MS
8867413417fffff,1,0,0.0,ns,MS
8867413421fffff,54,13,10.0,ns,MS
8867413423fffff,313,69,60.0,ns,MS
8867413425fffff,79,7,9.0,ns,MS
8867413427fffff,948,173,101.0,ns,MS
8867413431fffff,641,37,34.0,ns,MS
8867413433fffff,53,0,0.0,ns,MS
8867413435fffff,455,48,57.0,ns,MS
8867413439fffff,24,7,4.0,ns,MS
886741343bfffff,165,4,3.0,ns,MS
886741343dfffff,67,9,10.0,ns,MS
88674134edfffff,1,0,0.0,ns,MS
8867413511fffff,206,20,25.0,ns,MS
8867413513fffff,601,7,4.0,ns,MS
8867413515fffff,32,0,0.0,ns,MS
8867413517fffff,122,0,4.0,ns,MS
8867413519fffff,2,0,0.0,ns,MS
886741351bfffff,904,161,90.0,ns,MS
8867413531fffff,735,27,17.0,ns,MS
8867413535fffff,956,60,19.0,ns,MS
8867413537fffff,244,18,0.0,ns,MS
886741353bfffff,220,4,3.0,ns,MS
886741353dfffff,20,11,7.0,ns,MS
88674135c1fffff,60,0,0.0,ns,MS
88674135c5fffff,186,0,0.0,ns,MS
88674135c7fffff,86,0,0.0,ns,MS
88674135c9fffff,1229,46,22.0,ns,MS
88674135cbfffff,129,0,0.0,ns,MS
88674135cdfffff,944,18,8.0,ns,MS
88674135e9fffff,77,0,0.0,ns,MS
88674135edfffff,5,1,0.0,ns,MS
8867413891fffff,113,25,34.0,ns,MS
8867413893fffff,903,117,140.0,ns,MS
8867413895fffff,1,0,0.0,ns,MS
8867413897fffff,1234,692,163.0,ns,MS
886741389bfffff,300,57,44.0,ns,MS
88674138b3fffff,733,323,22.0,HH,MS
88674138b7fffff,18,8,0.0,ns,MS
88674138bbfffff,280,70,38.0,HH,MS
