res,product,cells,rho_product,rho_null,delta,top20_product,top20_null
8,Microsoft,112,0.474,0.599,-0.125,0.35,0.5
7,Microsoft,31,0.602,0.778,-0.175,0.85,0.9
8,IMPACT v2,374,0.292,0.573,-0.281,0.25,0.25
7,IMPACT v2,114,0.433,0.665,-0.232,0.45,0.85
8,OSU,454,0.505,0.515,-0.01,0.45,0.4
7,OSU,152,0.54,0.56,-0.02,0.8,0.8
8,UH,454,-0.114,0.567,-0.681,0.0,0.3
7,UH,107,-0.073,0.695,-0.768,0.05,0.85
8,LIST,668,0.276,0.461,-0.185,0.6,0.3
7,LIST,178,0.404,0.552,-0.147,0.6,0.65
8,UNEP,602,0.071,0.489,-0.418,0.2,0.3
7,UNEP,165,0.222,0.573,-0.351,0.2,0.65
