res,product,cells,rho_product,rho_null,delta,top20_product,top20_null
9,Microsoft,594,0.481,0.471,0.01,0.15,0.0
8,Microsoft,133,0.616,0.644,-0.028,0.35,0.45
9,IMPACT v2,594,0.535,0.471,0.064,0.2,0.0
8,IMPACT v2,133,0.718,0.644,0.074,0.45,0.45
9,OSU,594,0.51,0.471,0.039,0.1,0.0
8,OSU,133,0.703,0.644,0.059,0.45,0.45
9,UH,594,0.304,0.471,-0.167,0.05,0.0
8,UH,133,0.48,0.644,-0.164,0.4,0.45
9,LIST,594,0.565,0.471,0.094,0.2,0.0
8,LIST,133,0.737,0.644,0.092,0.65,0.45
9,UNEP,594,0.443,0.471,-0.028,0.1,0.0
8,UNEP,133,0.577,0.644,-0.067,0.4,0.45
