res,product,cells_count,cells_frac,rho_count,rho_null_count,rho_frac,rho_null_frac
8,Microsoft,112,106,0.474,0.56,0.362,0.59
7,Microsoft,31,31,0.602,0.626,0.426,0.605
8,IMPACT v2,374,371,0.292,0.599,0.465,0.602
7,IMPACT v2,114,114,0.433,0.678,0.525,0.601
8,OSU,454,437,0.505,0.48,0.544,0.451
7,OSU,152,152,0.54,0.48,0.492,0.355
8,UH,453,413,-0.114,0.581,-0.21,0.573
7,UH,106,102,-0.085,0.698,-0.211,0.645
8,LIST,668,650,0.276,0.442,0.346,0.447
7,LIST,178,178,0.404,0.495,0.372,0.433
8,UNEP,601,582,0.068,0.45,0.08,0.469
7,UNEP,165,164,0.219,0.498,0.139,0.423
