res,predictor,cells,rho,top20,top20_exp,rho_frac,cells_frac
9,Microsoft,594,0.481,0.15,0.15,0.398,426
9,IMPACT v2,594,0.535,0.2,0.2,0.52,426
9,OSU,594,0.51,0.1,0.1,0.539,426
9,UH,594,0.304,0.05,0.05,0.21,426
9,LIST,594,0.565,0.2,0.2,0.585,426
9,UNEP,594,0.443,0.1,0.1,0.366,426
9,geography null,594,0.471,0.0,0.0,0.387,426
9,vote sum,594,0.543,0.2,0.2,0.623,426
9,1-of-6,594,0.457,0.0,0.0,0.554,426
9,2-of-6,594,0.571,0.15,0.15,0.617,426
9,3-of-6,594,0.623,0.3,0.3,0.628,426
9,4-of-6,594,0.652,0.45,0.45,0.649,426
9,5-of-6,594,0.595,0.55,0.55,0.585,426
9,6-of-6,594,0.515,0.5,0.5,0.536,426
9,weighted fusion,594,0.566,0.25,0.25,0.577,426
8,Microsoft,133,0.616,0.35,0.35,0.444,112
8,IMPACT v2,133,0.718,0.45,0.45,0.687,112
8,OSU,133,0.703,0.45,0.45,0.707,112
8,UH,133,0.48,0.4,0.4,0.241,112
8,LIST,133,0.737,0.65,0.65,0.69,112
8,UNEP,133,0.577,0.4,0.4,0.389,112
8,geography null,133,0.644,0.45,0.45,0.493,112
8,vote sum,133,0.695,0.45,0.45,0.727,112
8,1-of-6,133,0.627,0.45,0.45,0.659,112
8,2-of-6,133,0.724,0.5,0.5,0.742,112
8,3-of-6,133,0.783,0.6,0.6,0.735,112
8,4-of-6,133,0.781,0.65,0.65,0.73,112
8,5-of-6,133,0.687,0.75,0.77,0.638,112
8,6-of-6,133,0.616,0.65,0.67,0.608,112
8,weighted fusion,133,0.711,0.5,0.5,0.647,112
