rule,members,n_bldg,n_flagged,n_cems,region_km2,overdet,recall_r10,precision_r10,f1_r10,recall_r5,precision_r5,f1_r5,recall_r20,precision_r20,f1_r20
MS,ms,58705,7944,1467,65.3,5.4,0.611,0.121,0.201,0.546,0.094,0.16,0.703,0.174,0.279
IMPACT,impact,339700,23490,1500,392.4,15.7,0.619,0.048,0.089,0.571,0.036,0.067,0.693,0.083,0.148
OSU,osu,412637,32643,1488,490.7,21.9,0.856,0.054,0.102,0.808,0.039,0.074,0.907,0.094,0.171
UH,uh,290648,55952,1499,263.2,37.3,0.45,0.012,0.024,0.418,0.01,0.019,0.499,0.018,0.034
MS∧IMPACT,ms+impact,58705,2041,1467,65.3,1.4,0.414,0.29,0.341,0.361,0.232,0.282,0.491,0.408,0.446
MS∧IMPACT (quad),ms+impact+osu+uh,57241,2041,1467,60.8,1.4,0.414,0.29,0.341,0.361,0.232,0.282,0.491,0.408,0.446
MS∧OSU,ms+osu,58705,4294,1467,65.3,2.9,0.557,0.2,0.294,0.49,0.157,0.238,0.646,0.282,0.393
MS∧OSU (quad),ms+impact+osu+uh,57241,4293,1467,60.8,2.9,0.557,0.2,0.294,0.49,0.157,0.238,0.646,0.283,0.393
MS∧UH,ms+uh,57241,965,1467,60.8,0.7,0.346,0.483,0.403,0.32,0.406,0.358,0.389,0.622,0.479
MS∧UH (quad),ms+impact+osu+uh,57241,965,1467,60.8,0.7,0.346,0.483,0.403,0.32,0.406,0.358,0.389,0.622,0.479
IMPACT∧OSU,impact+osu,329405,8690,1474,377.6,5.9,0.587,0.12,0.199,0.535,0.09,0.154,0.674,0.204,0.313
IMPACT∧OSU (quad),ms+impact+osu+uh,57241,7871,1467,60.8,5.4,0.587,0.132,0.215,0.535,0.099,0.167,0.674,0.224,0.337
IMPACT∧UH,impact+uh,290648,3934,1499,263.2,2.6,0.304,0.11,0.162,0.28,0.088,0.134,0.348,0.155,0.215
IMPACT∧UH (quad),ms+impact+osu+uh,57241,1290,1467,60.8,0.9,0.305,0.329,0.316,0.282,0.264,0.272,0.35,0.465,0.399
OSU∧UH,osu+uh,280811,3925,1473,251.8,2.7,0.401,0.151,0.22,0.368,0.12,0.181,0.455,0.213,0.29
OSU∧UH (quad),ms+impact+osu+uh,57241,2956,1467,60.8,2.0,0.4,0.199,0.266,0.367,0.158,0.221,0.453,0.281,0.347
1-of-4,ms+impact+osu+uh,57241,34074,1467,60.8,23.2,0.943,0.057,0.107,0.901,0.041,0.078,0.974,0.1,0.181
2-of-4,ms+impact+osu+uh,57241,12689,1467,60.8,8.6,0.819,0.116,0.203,0.763,0.087,0.156,0.888,0.191,0.315
3-of-4,ms+impact+osu+uh,57241,2693,1467,60.8,1.8,0.541,0.297,0.383,0.485,0.235,0.317,0.613,0.421,0.499
4-of-4,ms+impact+osu+uh,57241,447,1467,60.8,0.3,0.228,0.669,0.34,0.204,0.566,0.3,0.271,0.857,0.412
