rule,flagged,P_cems,R_cems,F1_cems,R_field_r20,FP_crowd_damaged,P_crowd_adj
MS,7872,0.122,0.611,0.203,0.81,0.17,0.271
IMPACT,10787,0.104,0.627,0.178,0.77,0.19,0.277
OSU,25882,0.068,0.865,0.126,0.95,0.19,0.244
UH,5362,0.126,0.453,0.197,0.59,0.34,0.423
LIST,15906,0.086,0.755,0.154,0.9,0.19,0.259
UNEP,5604,0.117,0.436,0.185,0.65,0.18,0.273
IMPACT∧OSU,7871,0.132,0.587,0.215,0.76,0.2,0.306
MS∧UH,965,0.483,0.346,0.403,0.53,0.4,0.691
MS∧LIST,2875,0.226,0.476,0.306,0.69,0.2,0.383
LIST∧UH,1825,0.27,0.368,0.311,0.52,0.43,0.584
UNEP∧OSU,3391,0.181,0.413,0.251,0.62,0.2,0.343
MS∧UNEP,3172,0.163,0.367,0.226,0.59,0.18,0.311
1-of-6,37316,0.053,0.952,0.1,0.99,0.18,0.219
2-of-6,20742,0.085,0.899,0.155,0.98,0.19,0.258
3-of-6,9116,0.149,0.781,0.25,0.93,0.2,0.318
4-of-6,3114,0.269,0.568,0.365,0.8,0.23,0.439
5-of-6,912,0.477,0.333,0.392,0.57,0.32,0.643
6-of-6,213,0.793,0.149,0.25,0.28,0.75,0.948
