thresh,n_flag,flag_pct,precision,recall,f1
1.0,33772,60.0,0.03,0.646,0.058
1.25,24197,43.0,0.037,0.576,0.069
1.5,16598,29.5,0.044,0.48,0.081
1.75,11157,19.8,0.055,0.407,0.097
2.0,7409,13.2,0.066,0.328,0.11
2.25,4994,8.9,0.081,0.276,0.126
2.5,3465,6.2,0.094,0.221,0.131
2.75,2425,4.3,0.11,0.181,0.137
3.0,1732,3.1,0.125,0.151,0.137
3.25,1281,2.3,0.144,0.129,0.137
3.5,963,1.7,0.158,0.104,0.126
3.75,721,1.3,0.168,0.082,0.111
4.0,548,1.0,0.188,0.072,0.104
4.25,438,0.8,0.212,0.065,0.099
4.5,357,0.6,0.221,0.053,0.086
4.75,299,0.5,0.241,0.048,0.08
5.0,259,0.5,0.232,0.041,0.069
5.25,217,0.4,0.258,0.038,0.066
5.5,184,0.3,0.283,0.035,0.063
5.75,148,0.3,0.318,0.032,0.058
6.0,124,0.2,0.339,0.028,0.052
