basis,predictor,n_flags,n_pos,precision,recall,f1
destroyed,MS,7872,957,0.08,0.658,0.143
destroyed,IMPACT,10787,957,0.055,0.624,0.102
destroyed,OSU,25882,957,0.033,0.886,0.063
destroyed,UH,5362,957,0.086,0.481,0.146
destroyed,LIST,15906,957,0.042,0.7,0.079
destroyed,UNEP,5604,957,0.081,0.472,0.138
destroyed,geography null (logistic),12864,957,0.05,0.675,0.093
destroyed,geography null (rand. forest),13112,957,0.039,0.531,0.072
destroyed,flat k-of-6 voting,3114,957,0.184,0.6,0.282
destroyed,weighted fusion,2246,957,0.252,0.59,0.353
dmg+destroyed,MS,7872,2064,0.122,0.464,0.193
dmg+destroyed,IMPACT,10787,2064,0.104,0.542,0.174
dmg+destroyed,OSU,25882,2064,0.068,0.851,0.126
dmg+destroyed,UH,5362,2064,0.126,0.327,0.182
dmg+destroyed,LIST,15906,2064,0.086,0.659,0.151
dmg+destroyed,UNEP,5604,2064,0.117,0.319,0.172
dmg+destroyed,geography null (logistic),12864,2064,0.1,0.622,0.172
dmg+destroyed,geography null (rand. forest),13112,2064,0.082,0.523,0.142
dmg+destroyed,flat k-of-6 voting,3114,2064,0.269,0.406,0.324
dmg+destroyed,weighted fusion,2246,2064,0.358,0.39,0.374
incl_possibly,MS,7872,3960,0.187,0.372,0.249
incl_possibly,IMPACT,10787,3960,0.173,0.471,0.253
incl_possibly,OSU,25882,3960,0.123,0.806,0.214
incl_possibly,UH,5362,3960,0.171,0.231,0.197
incl_possibly,LIST,15906,3960,0.152,0.611,0.244
incl_possibly,UNEP,5604,3960,0.179,0.254,0.21
incl_possibly,geography null (logistic),12864,3960,0.17,0.553,0.26
incl_possibly,geography null (rand. forest),13112,3960,0.146,0.484,0.224
incl_possibly,flat k-of-6 voting,3114,3960,0.382,0.301,0.337
incl_possibly,weighted fusion,2246,3960,0.493,0.28,0.357
