lens,rule,radius,metric,point,lo,hi
core,MS,10,P,0.081,0.049,0.123
core,MS,10,R,0.474,0.374,0.564
core,MS,10,F1,0.139,0.087,0.197
core,MS,20,P,0.138,0.083,0.204
core,MS,20,R,0.622,0.514,0.726
core,MS,20,F1,0.226,0.145,0.312
core,MS,30,P,0.184,0.114,0.27
core,MS,30,R,0.708,0.599,0.805
core,MS,30,F1,0.292,0.193,0.397
core,MS,30,visits_per_find,8.79,5.92,14.3
core,MS,10,P_crowd_adj,0.242,0.198,0.299
core,IMPACT,10,P,0.069,0.044,0.095
core,IMPACT,10,R,0.462,0.387,0.526
core,IMPACT,10,F1,0.12,0.08,0.16
core,IMPACT,20,P,0.133,0.087,0.179
core,IMPACT,20,R,0.627,0.54,0.688
core,IMPACT,20,F1,0.219,0.15,0.281
core,IMPACT,30,P,0.205,0.138,0.271
core,IMPACT,30,R,0.712,0.635,0.764
core,IMPACT,30,F1,0.318,0.228,0.398
core,IMPACT,30,visits_per_find,10.33,7.64,15.66
core,IMPACT,10,P_crowd_adj,0.256,0.202,0.339
core,OSU,10,P,0.045,0.03,0.061
core,OSU,10,R,0.688,0.637,0.734
core,OSU,10,F1,0.084,0.057,0.112
core,OSU,20,P,0.087,0.059,0.118
core,OSU,20,R,0.86,0.815,0.891
core,OSU,20,F1,0.159,0.111,0.208
core,OSU,30,P,0.137,0.096,0.183
core,OSU,30,R,0.913,0.879,0.936
core,OSU,30,F1,0.239,0.173,0.306
core,OSU,30,visits_per_find,19.33,14.14,29.2
core,OSU,10,P_crowd_adj,0.23,0.19,0.284
core,UH,10,P,0.093,0.053,0.146
core,UH,10,R,0.337,0.263,0.418
core,UH,10,F1,0.146,0.089,0.207
core,UH,20,P,0.148,0.085,0.232
core,UH,20,R,0.437,0.346,0.529
core,UH,20,F1,0.221,0.14,0.308
core,UH,30,P,0.197,0.116,0.304
core,UH,30,R,0.506,0.411,0.603
core,UH,30,F1,0.284,0.185,0.384
core,UH,30,visits_per_find,7.23,4.61,12.22
core,UH,10,P_crowd_adj,0.418,0.324,0.51
core,LIST,10,P,0.057,0.039,0.075
core,LIST,10,R,0.564,0.504,0.614
core,LIST,10,F1,0.103,0.072,0.132
core,LIST,20,P,0.111,0.077,0.146
core,LIST,20,R,0.766,0.705,0.807
core,LIST,20,F1,0.194,0.14,0.246
core,LIST,30,P,0.172,0.122,0.222
core,LIST,30,R,0.861,0.81,0.896
core,LIST,30,F1,0.286,0.212,0.356
core,LIST,30,visits_per_find,12.59,9.45,18.61
core,LIST,10,P_crowd_adj,0.242,0.2,0.296
core,UNEP,10,P,0.086,0.047,0.139
core,UNEP,10,R,0.313,0.235,0.395
core,UNEP,10,F1,0.135,0.079,0.2
core,UNEP,20,P,0.143,0.079,0.227
core,UNEP,20,R,0.451,0.356,0.548
core,UNEP,20,F1,0.217,0.131,0.313
core,UNEP,30,P,0.188,0.108,0.29
core,UNEP,30,R,0.562,0.462,0.654
core,UNEP,30,F1,0.281,0.179,0.393
core,UNEP,30,visits_per_find,6.8,4.38,11.81
core,UNEP,10,P_crowd_adj,0.253,0.202,0.319
core,1-of-6,10,P,0.034,0.023,0.048
core,1-of-6,10,R,0.768,0.713,0.816
core,1-of-6,10,F1,0.066,0.044,0.09
core,1-of-6,20,P,0.069,0.046,0.093
core,1-of-6,20,R,0.934,0.902,0.957
core,1-of-6,20,F1,0.128,0.088,0.17
core,1-of-6,30,P,0.109,0.075,0.146
core,1-of-6,30,R,0.973,0.954,0.986
core,1-of-6,30,F1,0.195,0.138,0.254
core,1-of-6,30,visits_per_find,26.38,19.05,40.63
core,1-of-6,10,P_crowd_adj,0.208,0.177,0.249
core,2-of-6,10,P,0.056,0.038,0.075
core,2-of-6,10,R,0.71,0.657,0.753
core,2-of-6,10,F1,0.104,0.072,0.137
core,2-of-6,20,P,0.108,0.074,0.143
core,2-of-6,20,R,0.895,0.85,0.925
core,2-of-6,20,F1,0.193,0.136,0.248
core,2-of-6,30,P,0.167,0.118,0.219
core,2-of-6,30,R,0.943,0.912,0.964
core,2-of-6,30,F1,0.284,0.209,0.356
core,2-of-6,30,visits_per_find,15.22,11.34,22.53
core,2-of-6,10,P_crowd_adj,0.24,0.201,0.291
core,3-of-6,10,P,0.101,0.069,0.135
core,3-of-6,10,R,0.605,0.534,0.663
core,3-of-6,10,F1,0.173,0.124,0.222
core,3-of-6,20,P,0.184,0.129,0.241
core,3-of-6,20,R,0.787,0.72,0.832
core,3-of-6,20,F1,0.298,0.22,0.37
core,3-of-6,30,P,0.267,0.192,0.343
core,3-of-6,30,R,0.856,0.804,0.889
core,3-of-6,30,F1,0.407,0.31,0.493
core,3-of-6,30,visits_per_find,7.49,5.63,10.74
core,3-of-6,10,P_crowd_adj,0.283,0.228,0.36
core,4-of-6,10,P,0.187,0.123,0.257
core,4-of-6,10,R,0.419,0.335,0.499
core,4-of-6,10,F1,0.259,0.184,0.326
core,4-of-6,20,P,0.311,0.207,0.418
core,4-of-6,20,R,0.579,0.483,0.665
core,4-of-6,20,F1,0.405,0.294,0.495
core,4-of-6,30,P,0.405,0.273,0.531
core,4-of-6,30,R,0.665,0.578,0.735
core,4-of-6,30,F1,0.504,0.376,0.603
core,4-of-6,30,visits_per_find,3.43,2.49,4.92
core,4-of-6,10,P_crowd_adj,0.383,0.296,0.506
core,5-of-6,10,P,0.339,0.23,0.445
core,5-of-6,10,R,0.232,0.154,0.308
core,5-of-6,10,F1,0.276,0.195,0.343
core,5-of-6,20,P,0.503,0.34,0.645
core,5-of-6,20,R,0.329,0.23,0.426
core,5-of-6,20,F1,0.398,0.288,0.487
core,5-of-6,30,P,0.6,0.403,0.758
core,5-of-6,30,R,0.41,0.293,0.523
core,5-of-6,30,F1,0.487,0.354,0.593
core,5-of-6,30,visits_per_find,1.67,1.24,2.3
core,5-of-6,10,P_crowd_adj,0.56,0.404,0.726
core,6-of-6,10,P,0.64,0.569,0.732
core,6-of-6,10,R,0.093,0.052,0.137
core,6-of-6,10,F1,0.163,0.097,0.227
core,6-of-6,20,P,0.85,0.792,0.903
core,6-of-6,20,R,0.147,0.084,0.214
core,6-of-6,20,F1,0.251,0.153,0.343
core,6-of-6,30,P,0.967,0.941,0.991
core,6-of-6,30,R,0.184,0.106,0.265
core,6-of-6,30,F1,0.309,0.192,0.417
core,6-of-6,30,visits_per_find,0.79,0.56,0.96
core,6-of-6,10,P_crowd_adj,0.932,0.862,0.987
