area,product,n_bldg,n_cems,n_flag,flag_pct,recall,enrichment,precision,rand_prec,lift
Caraballeda,IMPACT,56447,1455,10732,19.0,0.462,2.4,0.069,0.024,2.9
Moron,IMPACT,13910,26,932,6.7,0.192,2.9,0.005,0.002,3.0
Caracas,IMPACT,111636,3,9445,8.5,0.667,7.9,0.0,0.0,7.9
Santa Cruz,IMPACT,144650,3,1739,1.2,0.333,27.7,0.001,0.0,83.2
San Felipe,IMPACT,6027,0,106,1.8,,,0.0,0.0,
Caraballeda,MS,56348,1455,9050,16.1,0.476,3.0,0.082,0.024,3.4
Caraballeda,OSU,56447,1455,25636,45.4,0.688,1.5,0.045,0.024,1.9
San Felipe,OSU,89259,14,948,1.1,0.0,0.0,0.0,0.0,0.0
Caracas,OSU,111636,3,2827,2.5,0.667,26.3,0.001,0.0,26.3
Santa Cruz,OSU,144190,3,1299,0.9,0.333,37.0,0.001,0.0,111.0
Moron,OSU,4074,0,549,13.5,,,0.0,0.0,
Caraballeda,UH,56075,1455,5340,9.5,0.34,3.6,0.093,0.024,3.9
Moron,UH,13909,26,265,1.9,0.192,10.1,0.019,0.002,10.5
Caracas,UH,102573,3,18175,17.7,1.0,5.6,0.0,0.0,5.6
Santa Cruz,UH,116900,3,32145,27.5,0.333,1.2,0.0,0.0,3.6
