thresh,min_px,n_obj,tune_precision,tune_recall,tune_f1
2.0,1,16437,0.016,0.183,0.029
2.0,3,5069,0.031,0.117,0.049
2.0,5,2776,0.043,0.086,0.058
2.0,10,997,0.055,0.037,0.044
2.0,20,312,0.074,0.015,0.025
2.5,1,7725,0.028,0.145,0.047
2.5,3,2252,0.058,0.086,0.069
2.5,5,1189,0.075,0.059,0.066
2.5,10,393,0.097,0.021,0.034
2.5,20,111,0.119,0.006,0.011
3.0,1,3726,0.044,0.11,0.063
3.0,3,1113,0.077,0.059,0.067
3.0,5,599,0.091,0.035,0.05
3.0,10,192,0.077,0.007,0.013
3.0,20,50,0.067,0.001,0.002
3.5,1,2048,0.07,0.095,0.08
3.5,3,630,0.12,0.05,0.07
3.5,5,343,0.138,0.025,0.043
3.5,10,93,0.152,0.006,0.011
3.5,20,29,0.25,0.002,0.005
4.0,1,1220,0.091,0.079,0.084
4.0,3,391,0.129,0.029,0.047
4.0,5,189,0.107,0.009,0.017
4.0,10,58,0.15,0.003,0.007
4.0,20,14,0.5,0.001,0.002
5.0,1,553,0.147,0.053,0.078
5.0,3,168,0.182,0.016,0.03
5.0,5,78,0.167,0.006,0.011
5.0,10,24,0.286,0.002,0.005
5.0,20,8,1.0,0.001,0.002
