region,lens,radius,predictor,metric,value,source
asd,cells,8,Microsoft,rho,0.474,pipeline/ranking.py
asd,cells,8,Microsoft,rho_null,0.56,pipeline/ranking.py
asd,cells,8,Microsoft,delta,-0.086,pipeline/ranking.py
asd,cells,8,Microsoft,top20,0.35,pipeline/ranking.py
asd,cells,8,Microsoft,top20_null,0.45,pipeline/ranking.py
asd,cells,8,Microsoft,cells,112.0,pipeline/ranking.py
asd,cells,7,Microsoft,rho,0.602,pipeline/ranking.py
asd,cells,7,Microsoft,rho_null,0.626,pipeline/ranking.py
asd,cells,7,Microsoft,delta,-0.024,pipeline/ranking.py
asd,cells,7,Microsoft,top20,0.85,pipeline/ranking.py
asd,cells,7,Microsoft,top20_null,0.9,pipeline/ranking.py
asd,cells,7,Microsoft,cells,31.0,pipeline/ranking.py
asd,cells,8,IMPACT v2,rho,0.292,pipeline/ranking.py
asd,cells,8,IMPACT v2,rho_null,0.599,pipeline/ranking.py
asd,cells,8,IMPACT v2,delta,-0.307,pipeline/ranking.py
asd,cells,8,IMPACT v2,top20,0.25,pipeline/ranking.py
asd,cells,8,IMPACT v2,top20_null,0.15,pipeline/ranking.py
asd,cells,8,IMPACT v2,cells,374.0,pipeline/ranking.py
asd,cells,7,IMPACT v2,rho,0.433,pipeline/ranking.py
asd,cells,7,IMPACT v2,rho_null,0.678,pipeline/ranking.py
asd,cells,7,IMPACT v2,delta,-0.245,pipeline/ranking.py
asd,cells,7,IMPACT v2,top20,0.45,pipeline/ranking.py
asd,cells,7,IMPACT v2,top20_null,0.75,pipeline/ranking.py
asd,cells,7,IMPACT v2,cells,114.0,pipeline/ranking.py
asd,cells,8,OSU,rho,0.505,pipeline/ranking.py
asd,cells,8,OSU,rho_null,0.48,pipeline/ranking.py
asd,cells,8,OSU,delta,0.025,pipeline/ranking.py
asd,cells,8,OSU,top20,0.45,pipeline/ranking.py
asd,cells,8,OSU,top20_null,0.2,pipeline/ranking.py
asd,cells,8,OSU,cells,454.0,pipeline/ranking.py
asd,cells,7,OSU,rho,0.54,pipeline/ranking.py
asd,cells,7,OSU,rho_null,0.48,pipeline/ranking.py
asd,cells,7,OSU,delta,0.059,pipeline/ranking.py
asd,cells,7,OSU,top20,0.8,pipeline/ranking.py
asd,cells,7,OSU,top20_null,0.65,pipeline/ranking.py
asd,cells,7,OSU,cells,152.0,pipeline/ranking.py
asd,cells,8,UH,rho,-0.114,pipeline/ranking.py
asd,cells,8,UH,rho_null,0.581,pipeline/ranking.py
asd,cells,8,UH,delta,-0.695,pipeline/ranking.py
asd,cells,8,UH,top20,0.0,pipeline/ranking.py
asd,cells,8,UH,top20_null,0.35,pipeline/ranking.py
asd,cells,8,UH,cells,454.0,pipeline/ranking.py
asd,cells,7,UH,rho,-0.073,pipeline/ranking.py
asd,cells,7,UH,rho_null,0.696,pipeline/ranking.py
asd,cells,7,UH,delta,-0.77,pipeline/ranking.py
asd,cells,7,UH,top20,0.05,pipeline/ranking.py
asd,cells,7,UH,top20_null,0.8,pipeline/ranking.py
asd,cells,7,UH,cells,107.0,pipeline/ranking.py
asd,cells,8,LIST,rho,0.276,pipeline/ranking.py
asd,cells,8,LIST,rho_null,0.442,pipeline/ranking.py
asd,cells,8,LIST,delta,-0.166,pipeline/ranking.py
asd,cells,8,LIST,top20,0.6,pipeline/ranking.py
asd,cells,8,LIST,top20_null,0.1,pipeline/ranking.py
asd,cells,8,LIST,cells,668.0,pipeline/ranking.py
asd,cells,7,LIST,rho,0.404,pipeline/ranking.py
asd,cells,7,LIST,rho_null,0.495,pipeline/ranking.py
asd,cells,7,LIST,delta,-0.091,pipeline/ranking.py
asd,cells,7,LIST,top20,0.6,pipeline/ranking.py
asd,cells,7,LIST,top20_null,0.55,pipeline/ranking.py
asd,cells,7,LIST,cells,178.0,pipeline/ranking.py
asd,cells,8,UNEP,rho,0.071,pipeline/ranking.py
asd,cells,8,UNEP,rho_null,0.45,pipeline/ranking.py
asd,cells,8,UNEP,delta,-0.378,pipeline/ranking.py
asd,cells,8,UNEP,top20,0.2,pipeline/ranking.py
asd,cells,8,UNEP,top20_null,0.1,pipeline/ranking.py
asd,cells,8,UNEP,cells,602.0,pipeline/ranking.py
asd,cells,7,UNEP,rho,0.222,pipeline/ranking.py
asd,cells,7,UNEP,rho_null,0.498,pipeline/ranking.py
asd,cells,7,UNEP,delta,-0.276,pipeline/ranking.py
asd,cells,7,UNEP,top20,0.2,pipeline/ranking.py
asd,cells,7,UNEP,top20_null,0.55,pipeline/ranking.py
asd,cells,7,UNEP,cells,165.0,pipeline/ranking.py
core,cells,9,Microsoft,rho,0.481,pipeline/ranking.py
core,cells,9,Microsoft,rho_null,0.471,pipeline/ranking.py
core,cells,9,Microsoft,delta,0.01,pipeline/ranking.py
core,cells,9,Microsoft,top20,0.15,pipeline/ranking.py
core,cells,9,Microsoft,top20_null,0.0,pipeline/ranking.py
core,cells,9,Microsoft,cells,594.0,pipeline/ranking.py
core,cells,8,Microsoft,rho,0.616,pipeline/ranking.py
core,cells,8,Microsoft,rho_null,0.644,pipeline/ranking.py
core,cells,8,Microsoft,delta,-0.028,pipeline/ranking.py
